Model,Capacity,NAND Type,Format,Interface,Released,Controller,DRAM,Sequential R/W,Random R/W,Endurance,Product URL
Intel 545s,256GB 512GB,TLC,2.5,SATA 6 Gbps,2017,SM2259H,Yes,550/500 MB/s,75000/85000 IOPS,288TBW,https://www.techpowerup.com/ssd-specs/intel-545s-512-gb.d441
Intel 660p,512GB 1TB 2TB,QLC,M.2 2280,PCIe 3.0 x4,2018,SM2263EN,Yes,1800/1800 MB/s,150000/220000 IOPS,200TBW,https://www.techpowerup.com/ssd-specs/intel-660p-1-tb.d436
Intel 665p,1TB 2TB,QLC,M.2 2280,PCIe 3.0 x4,2019,SM2263EN,Yes,2000/1925 MB/s,160000/250000 IOPS,300TBW,https://www.techpowerup.com/ssd-specs/intel-665p-1-tb.d433
Intel 670p,512GB 1TB 2TB,QLC,M.2 2280,PCIe 3.0 x4,2020,SM2265,Yes,3500/2500 MB/s,220000/330000 IOPS,370TBW,https://www.techpowerup.com/ssd-specs/intel-670p-1-tb.d431
Intel 760p,128GB 256GB 512GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2018,SM2262G,Yes,3230/1625 MB/s,340000/275000 IOPS,576TBW,https://www.techpowerup.com/ssd-specs/intel-760p-1-tb.d426
Intel DC P3700,400GB,MLC,Add-In Card,PCIe 3.0 x4,2014,CH29AE41AB0,Yes,2700/1080 MB/s,450000/75000 IOPS,7300TBW,https://www.techpowerup.com/ssd-specs/intel-dc-p3700-400-gb.d1915
Intel DC S3510,80GB 120GB 240GB 480GB 800GB 1.2TB 1.6TB,MLC,2.5,SATA 6 Gbps,2015,PC29AS21CB0,Yes,500/440 MB/s,67000/20000 IOPS,660TBW,https://www.techpowerup.com/ssd-specs/intel-dc-s3510-1-2-tb.d1949
Intel S3700,400GB 800GB,MLC,2.5,SATA 6 Gbps,2015,PC29AS21CA0,Yes,500/460 MB/s,75000/36000 IOPS,14600TBW,https://www.techpowerup.com/ssd-specs/intel-s3700-800-gb.d1873
Intel SSD 750,400GB 800GB 1.2TB,MLC,Add-In Card,PCIe 3.0 x4,2015,CH29AE41AB0,Yes,2400/1200 MB/s,440000/290000 IOPS,128TBW,https://www.techpowerup.com/ssd-specs/intel-ssd-750-1-2-tb.d438
Intel X25-M G2,80GB 160GB,MLC,2.5,SATA 3 Gbps,2010,PC29AS21BA0,Yes,250/100 MB/s,35000/8600 IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/intel-x25-m-g2-160-gb.d1296
IRDM CX400 Gen.2 (SpecTek B27B),128GB 256GB 512GB 1TB,TLC,2.5,SATA 6 Gbps,2018,Phison S11,No,550/500 MB/s,75500/76800 IOPS,720TBW,https://www.techpowerup.com/ssd-specs/irdm-cx400-gen-2-1-tb.d1377
IRDM CX400 Gen.2 (Toshiba BiCS3),1TB,TLC,2.5,SATA 6 Gbps,Unknown,Phison S11,No,550/500 MB/s,75500/76800 IOPS,720TBW,https://www.techpowerup.com/ssd-specs/irdm-cx400-gen-2-1-tb.d1380
IRDM CX400 Gen.2 (Toshiba BiCS4),256GB,TLC,2.5,SATA 6 Gbps,Unknown,Phison S11,No,550/480 MB/s,65000/61440 IOPS,180TBW,https://www.techpowerup.com/ssd-specs/irdm-cx400-gen-2-256-gb.d1381
IRDM M.2 SSD (E12 + Toshiba BiCS3),256GB 512GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2021,Phison E12S,Yes,3200/3000 MB/s,250000/500000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/irdm-m-2-ssd-1-tb.d1372
IRDM M.2 SSD (E12 + Toshiba BiCS4),512GB,TLC,M.2 2280,PCIe 3.0 x4,2021,Phison E12S,Yes,3200/2000 MB/s,295000/500000 IOPS,300TBW,https://www.techpowerup.com/ssd-specs/irdm-m-2-ssd-512-gb.d1373
IRDM M.2 SSD (E12S + YMTC BCT1B),512GB 1TB,TLC,M.2 2280,PCIe 3.0 x4,2021,Phison E12S,Yes,3200/3000 MB/s,250000/500000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/irdm-m-2-ssd-1-tb.d1370
IRDM Pro Gen. 2 (Micron B27A),256GB 512GB 1TB,TLC,2.5,SATA 6 Gbps,2020,Phison S12,Yes,555/540 MB/s,92000/86000 IOPS,870TBW,https://www.techpowerup.com/ssd-specs/irdm-pro-gen-2-1-tb.d1361
IRDM Pro Gen5,1TB 2TB 4TB,TLC,M.2 2280,PCIe 5.0 x4,2024,Phison E26,Yes,11500/9000 MB/s,1300000/1400000 IOPS,700TBW,https://www.techpowerup.com/ssd-specs/irdm-pro-gen5-1-tb.d2233
IRDM PRO M.2 SSD,1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2022,Phison E18,Yes,7000/5500 MB/s,350000/700000 IOPS,700TBW,https://www.techpowerup.com/ssd-specs/irdm-pro-m-2-ssd-1-tb.d779
Kingspec NE Series,128GB,TLC,M.2 2280,PCIe 3.0 x4,Unknown,SM2263XT,HMB,1500/500 MB/s,Unknown IOPS,87TBW,https://www.techpowerup.com/ssd-specs/kingspec-ne-series-128-gb.d1330
Kingspec NX Series (MaxioTech + B27B),128GB 256GB 512GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2022,MAP1202A-F1C,HMB,3400/3000 MB/s,Unknown IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/kingspec-nx-series-1-tb.d1082
Kingspec NX Series (SM2263XT),128GB 256GB 512GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2022,SM2263XT,HMB,3400/3000 MB/s,Unknown IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/kingspec-nx-series-1-tb.d1090
Kingspec XF Series,512GB 1TB,TLC,M.2 2280,PCIe 4.0 x4,2022,TC2200,HMB,4800/4500 MB/s,Unknown IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/kingspec-xf-series-1-tb.d1080
Kingspec XG7000 (MAP1602 + YMTC EET1A TLC 1Tb),512GB 1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2023,MAP1602A,HMB,7200/6600 MB/s,Unknown IOPS,600TBW,https://www.techpowerup.com/ssd-specs/kingspec-xg7000-1-tb.d2221
Kingspec XG7000 (SM2268XT + Micron TLC B58R 1Tb),2TB,TLC,M.2 2280,PCIe 4.0 x4,2024,MAP1602A,HMB,7400/6600 MB/s,Unknown IOPS,1200TBW,https://www.techpowerup.com/ssd-specs/kingspec-xg7000-2-tb.d2296
Kingspec XG7000 Pro,512GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2022,IG5236,Yes,7400/5500 MB/s,610000/Unknown IOPS,600TBW,https://www.techpowerup.com/ssd-specs/kingspec-xg7000-pro-1-tb.d1418
Kingston A1000,240GB 480GB 960GB,TLC,M.2 2280,PCIe 3.0 x2,2018,Phison E8,Yes,1500/1000 MB/s,120000/100000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/kingston-a1000-960-gb.d322
Kingston A2000,250GB 500GB 1TB,TLC,M.2 2280,PCIe 3.0 x4,2019,SM2263EN,Yes,2200/2000 MB/s,250000/220000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/kingston-a2000-1-tb.d285
Kingston A400 (Micron B17A),120GB 240GB 480GB 960GB 1.9TB,TLC,2.5,SATA 6 Gbps,2018,Phison S11,No,500/450 MB/s,90000/50000 IOPS,300TBW,https://www.techpowerup.com/ssd-specs/kingston-a400-960-gb.d289
Kingston A400 (SM2259XT2 + BiCS5 QLC),960GB,QLC,2.5,SATA 6 Gbps,2018,SM2259XT2,No,500/450 MB/s,90000/50000 IOPS,300TBW,https://www.techpowerup.com/ssd-specs/kingston-a400-960-gb.d1668
Kingston A400 (SM2259XT2 + YMTC CDT1B),480GB,TLC,2.5,SATA 6 Gbps,2018,SM2259XT2,No,500/450 MB/s,90000/35000 IOPS,160TBW,https://www.techpowerup.com/ssd-specs/kingston-a400-480-gb.d1669
Kingston A400 (Toshiba 15nm),120GB 240GB,TLC,2.5,SATA 6 Gbps,2018,Phison S11,No,500/350 MB/s,90000/26000 IOPS,80TBW,https://www.techpowerup.com/ssd-specs/kingston-a400-240-gb.d287
Kingston DC1500M,1.9TB 7.5TB,TLC,U.2,PCIe 3.0 x4,2021,SM2270,Yes,3100/2700 MB/s,420000/200000 IOPS,13450TBW,https://www.techpowerup.com/ssd-specs/kingston-dc1500m-1-9-tb.d2130
Kingston DC2000B,240GB 480GB 960GB,TLC,M.2 2280,PCIe 4.0 x4,2024,Phison E18DC,Yes,7000/1300 MB/s,540000/47000 IOPS,701TBW,https://www.techpowerup.com/ssd-specs/kingston-dc2000b-960-gb.d2165
Kingston DC500M,480GB 960GB 1.9TB 3.8TB,TLC,2.5,SATA 6 Gbps,2019,Phison E12,Yes,555/520 MB/s,98000/70000 IOPS,2278TBW,https://www.techpowerup.com/ssd-specs/kingston-dc500m-960-gb.d314
Kingston DC500R,480GB 960GB 1.9TB 3.8TB 7.5TB,TLC,2.5,SATA 6 Gbps,2019,Phison S12,Yes,555/525 MB/s,98000/20000 IOPS,876TBW,https://www.techpowerup.com/ssd-specs/kingston-dc500r-960-gb.d309
Kingston DC600M,960GB 1.9TB 3.8TB 7.5TB,TLC,2.5,SATA 6 Gbps,2023,Phison S12DC,Yes,560/530 MB/s,94000/65000 IOPS,1752TBW,https://www.techpowerup.com/ssd-specs/kingston-dc600m-960-gb.d2052
Kingston FURY Renegade,500GB 1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2021,Phison E18,Yes,7300/6000 MB/s,900000/1000000 IOPS,1000TBW,https://www.techpowerup.com/ssd-specs/kingston-fury-renegade-1-tb.d609
Kingston FURY Renegade (w/ Heatsink),500GB 1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2021,Phison E18,Yes,7300/6000 MB/s,900000/1000000 IOPS,1000TBW,https://www.techpowerup.com/ssd-specs/kingston-fury-renegade-w-heatsink-1-tb.d1183
Kingston KC1000,240GB 480GB 960GB,TLC,M.2 2280,PCIe 3.0 x4,2017,Phison E7,Yes,2700/900 MB/s,290000/190000 IOPS,1000TBW,https://www.techpowerup.com/ssd-specs/kingston-kc1000-960-gb.d319
Kingston KC2000,250GB 500GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2019,SM2262ENG,Yes,3200/2200 MB/s,350000/275000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/kingston-kc2000-1-tb.d279
Kingston KC2500,250GB 500GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2021,SM2262ENG,Yes,3500/2900 MB/s,375000/300000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/kingston-kc2500-1-tb.d264
Kingston KC3000 (Kioxia BiCS5 HDR 1Tb),4TB,TLC,M.2 2280,PCIe 4.0 x4,2023,Phison E18,Yes,7000/7000 MB/s,1000000/1000000 IOPS,3200TBW,https://www.techpowerup.com/ssd-specs/kingston-kc3000-4-tb.d1908
Kingston KC3000 (Kioxia BiCS5 HDR 512Gb),1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2023,Phison E18,Yes,7000/6000 MB/s,900000/1000000 IOPS,800TBW,https://www.techpowerup.com/ssd-specs/kingston-kc3000-1-tb.d1906
Kingston KC3000 (Micron B47R),512GB 1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2021,Phison E18,Yes,7000/6000 MB/s,900000/1000000 IOPS,800TBW,https://www.techpowerup.com/ssd-specs/kingston-kc3000-1-tb.d259
Kingston KC400,128GB 256GB 512GB 1TB,TLC,2.5,SATA 6 Gbps,2016,Phison S10,Yes,550/530 MB/s,99000/89000 IOPS,1600TBW,https://www.techpowerup.com/ssd-specs/kingston-kc400-1-tb.d307
Kingston KC600 (SM2259 + Micron B16A),512GB,TLC,2.5,SATA 6 Gbps,2020,SM2259H,Yes,550/500 MB/s,90000/80000 IOPS,300TBW,https://www.techpowerup.com/ssd-specs/kingston-kc600-512-gb.d1568
Kingston KC600 (SM2259 + Micron B27A),256GB 512GB 1TB 2TB,TLC,2.5,SATA 6 Gbps,2019,SM2259H,Yes,550/500 MB/s,90000/80000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/kingston-kc600-1-tb.d293
Kingston KC600 (SM2259 + Micron B47R),1TB,TLC,2.5,SATA 6 Gbps,2023,SM2259H,Yes,550/500 MB/s,90000/80000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/kingston-kc600-1-tb.d1562
Kingston NV1 (Phison E13T + Micron N18A),250GB 500GB 1TB 2TB,QLC,M.2 2280,PCIe 3.0 x4,2021,Phison 13T,HMB,2100/1700 MB/s,Unknown IOPS,240TBW,https://www.techpowerup.com/ssd-specs/kingston-nv1-1-tb.d1037
Kingston NV1 (SM2263XT + Kioxia BiCS5),1TB,TLC,M.2 2280,PCIe 3.0 x4,2021,SM2263XT,HMB,2100/1700 MB/s,Unknown IOPS,240TBW,https://www.techpowerup.com/ssd-specs/kingston-nv1-1-tb.d1423
Kingston NV1 (SM2263XT + Micron N28A),250GB 500GB 1TB 2TB,QLC,M.2 2280,PCIe 3.0 x4,2021,SM2263XT,HMB,2100/1700 MB/s,Unknown IOPS,240TBW,https://www.techpowerup.com/ssd-specs/kingston-nv1-1-tb.d1033
Kingston NV2 (Phison E19T + Kioxia BiCS5 512Gb),250GB 500GB,TLC,M.2 2280,PCIe 4.0 x4,Unknown,Phison E19T,HMB,3500/2100 MB/s,Unknown IOPS,160TBW,https://www.techpowerup.com/ssd-specs/kingston-nv2-500-gb.d2114
Kingston NV2 (Phison E19T + Micron B47R),250GB 500GB,TLC,M.2 2280,PCIe 4.0 x4,Unknown,Phison E19T,HMB,3500/2100 MB/s,Unknown IOPS,160TBW,https://www.techpowerup.com/ssd-specs/kingston-nv2-500-gb.d2116
Kingston NV2 (Phison E21T + Intel N38A),1TB,QLC,M.2 2280,PCIe 4.0 x4,Unknown,Phison E21T,HMB,3500/2100 MB/s,Unknown IOPS,320TBW,https://www.techpowerup.com/ssd-specs/kingston-nv2-1-tb.d2112
Kingston NV2 (Phison E21T + Kioxia BiCS5 1Tb),1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2022,Phison E21T,HMB,3500/2100 MB/s,Unknown IOPS,320TBW,https://www.techpowerup.com/ssd-specs/kingston-nv2-1-tb.d2109
Kingston NV2 (Phison E21T + Kioxia BiCS5 512Gb),250GB 500GB 1TB,TLC,M.2 2280,PCIe 4.0 x4,2022,Phison E21T,HMB,3500/2100 MB/s,Unknown IOPS,320TBW,https://www.techpowerup.com/ssd-specs/kingston-nv2-1-tb.d1043
Kingston NV2 (Phison E21T + Micron N48R),1TB 2TB 4TB,QLC,M.2 2280,PCIe 4.0 x4,Unknown,Phison E21T,HMB,3500/2100 MB/s,Unknown IOPS,320TBW,https://www.techpowerup.com/ssd-specs/kingston-nv2-1-tb.d2106
Kingston NV2 (Phison E21T),2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2022,Phison E21T,HMB,3500/2800 MB/s,Unknown IOPS,640TBW,https://www.techpowerup.com/ssd-specs/kingston-nv2-2-tb.d1044
Kingston NV2 (SM2267XT + Intel N38A),1TB 2TB,QLC,M.2 2280,PCIe 4.0 x4,2022,SM2267XT,HMB,3500/2100 MB/s,Unknown IOPS,320TBW,https://www.techpowerup.com/ssd-specs/kingston-nv2-1-tb.d1284
Kingston NV2 (SM2267XT + YMTC CDT1B),250GB 500GB 1TB,TLC,M.2 2280,PCIe 4.0 x4,Unknown,SM2267XT,HMB,3500/2100 MB/s,Unknown IOPS,320TBW,https://www.techpowerup.com/ssd-specs/kingston-nv2-1-tb.d2105
Kingston NV2 (SM2267XT),250GB 500GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2022,SM2267XT,HMB,3500/2100 MB/s,Unknown IOPS,320TBW,https://www.techpowerup.com/ssd-specs/kingston-nv2-1-tb.d1187
Kingston NV2 (SM2269XT + Kioxia BiCS5 1Tb),1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,Unknown,SM2269XT,HMB,3500/2100 MB/s,Unknown IOPS,320TBW,https://www.techpowerup.com/ssd-specs/kingston-nv2-1-tb.d2099
Kingston NV2 (SM2269XT + Micron B47R),500GB,TLC,M.2 2280,PCIe 4.0 x4,Unknown,SM2267XT,HMB,3500/2100 MB/s,Unknown IOPS,160TBW,https://www.techpowerup.com/ssd-specs/kingston-nv2-500-gb.d2102
Kingston NV2 (SM2269XT + Micron N48R),1TB 2TB,QLC,M.2 2280,PCIe 4.0 x4,Unknown,SM2269XT,HMB,3500/2100 MB/s,Unknown IOPS,320TBW,https://www.techpowerup.com/ssd-specs/kingston-nv2-1-tb.d2097
Kingston NV2 (Tenafe TC2200 + Intel N38A),1TB 2TB,QLC,M.2 2280,PCIe 4.0 x4,Unknown,TC2200,HMB,3500/2100 MB/s,Unknown IOPS,320TBW,https://www.techpowerup.com/ssd-specs/kingston-nv2-1-tb.d2095
Kingston NV2 (Tenafe TC2200 + YMTC CDT1B),250GB 500GB 1TB,TLC,M.2 2280,PCIe 4.0 x4,Unknown,TC2200,HMB,3500/2100 MB/s,Unknown IOPS,320TBW,https://www.techpowerup.com/ssd-specs/kingston-nv2-1-tb.d2092
Kingston NV3 (Phison E27T + Kioxia BiCS6 TLC 1Tb),1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2024,Phison E27T,HMB,6000/4000 MB/s,Unknown IOPS,320TBW,https://www.techpowerup.com/ssd-specs/kingston-nv3-1-tb.d2164
Kingston NV3 (SM2268XT2 + Kioxia BiCS6 QLC 1Tb),500GB 1TB 2TB,QLC,M.2 2280,PCIe 4.0 x4,2024,SM2268XT2,HMB,6000/4000 MB/s,Unknown IOPS,320TBW,https://www.techpowerup.com/ssd-specs/kingston-nv3-1-tb.d2162
Kingston NV3 (TenaFe TC2201 + Kioxia BiCS6 QLC 1Tb),2TB,QLC,M.2 2280,PCIe 4.0 x4,2024,TC2201,HMB,6000/5000 MB/s,Unknown IOPS,640TBW,https://www.techpowerup.com/ssd-specs/kingston-nv3-2-tb.d2215
Kingston NV3 (TenaFe TC2201 + YMTC QLC 1Tb X3-6070),1TB 2TB,QLC,M.2 2280,PCIe 4.0 x4,2024,TC2201,HMB,6000/4000 MB/s,Unknown IOPS,320TBW,https://www.techpowerup.com/ssd-specs/kingston-nv3-1-tb.d2261
Kingston UV400,120GB 240GB 480GB 960GB,TLC,2.5,SATA 6 Gbps,2016,88SS1074,Yes,550/490 MB/s,90000/25000 IOPS,400TBW,https://www.techpowerup.com/ssd-specs/kingston-uv400-960-gb.d303
Kingston UV500,120GB 240GB 480GB 960GB 1.9TB,TLC,2.5,SATA 6 Gbps,2018,88SS1074,Yes,520/500 MB/s,79000/45000 IOPS,480TBW,https://www.techpowerup.com/ssd-specs/kingston-uv500-960-gb.d298
Kioxia BG6 (Kioxia BiCS5),256GB 512GB,TLC,M.2 2280,PCIe 4.0 x4,2023,SM2268XT,HMB,4800/4000 MB/s,650000/850000 IOPS,300TBW,https://www.techpowerup.com/ssd-specs/kioxia-bg6-512-gb.d1745
Kioxia BG6 (Kioxia BiCS5),256GB 512GB,TLC,M.2 2230,PCIe 4.0 x4,2023,SM2268XT,HMB,4800/4000 MB/s,650000/850000 IOPS,300TBW,https://www.techpowerup.com/ssd-specs/kioxia-bg6-512-gb.d1748
Kioxia BG6 (Kioxia BiCS6),1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2023,SM2268XT,HMB,6000/5000 MB/s,650000/900000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/kioxia-bg6-1-tb.d1744
Kioxia BG6 (Kioxia BiCS6),1TB 2TB,TLC,M.2 2230,PCIe 4.0 x4,2023,SM2268XT,HMB,6000/5000 MB/s,650000/900000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/kioxia-bg6-1-tb.d1747
Kioxia CD6-R,960GB 1.9TB 3.8TB 7.5TB 15TB,TLC,U.2,PCIe 4.0 x4,2020,88SS1132,Yes,5800/1300 MB/s,700000/30000 IOPS,1752TBW,https://www.techpowerup.com/ssd-specs/kioxia-cd6-r-960-gb.d760
Kioxia CD8-R,7.5TB,TLC,U.2,PCIe 4.0 x4,2021,TC58NC1030GTB V2,Yes,7100/6000 MB/s,1150000/200000 IOPS,14016TBW,https://www.techpowerup.com/ssd-specs/kioxia-cd8-r-7-5-tb.d2224
Kioxia Exceria,240GB 480GB 960GB,TLC,2.5,SATA 6 Gbps,2021,Phison S11,No,555/540 MB/s,81000/88000 IOPS,240TBW,https://www.techpowerup.com/ssd-specs/kioxia-exceria-960-gb.d1364
Kioxia Exceria G2,500GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2021,Phison E12S,Yes,2100/1700 MB/s,400000/400000 IOPS,400TBW,https://www.techpowerup.com/ssd-specs/kioxia-exceria-g2-1-tb.d1341
Kioxia Exceria Plus,500GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2020,Phison E12S,Yes,3400/3200 MB/s,680000/620000 IOPS,400TBW,https://www.techpowerup.com/ssd-specs/kioxia-exceria-plus-1-tb.d575
Kioxia Exceria Plus G2,500GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2024,Phison E12S,Yes,3400/3200 MB/s,680000/620000 IOPS,400TBW,https://www.techpowerup.com/ssd-specs/kioxia-exceria-plus-g2-1-tb.d2022
Kioxia Exceria Plus G3,1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2023,Phison E21T,HMB,5000/3900 MB/s,770000/950000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/kioxia-exceria-plus-g3-1-tb.d2326
Kioxia Exceria Pro,1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2021,Phison E18,Yes,7300/6400 MB/s,1000000/1100000 IOPS,400TBW,https://www.techpowerup.com/ssd-specs/kioxia-exceria-pro-1-tb.d778
Kioxia FL6,800GB 1.6TB 3TB,SLC,U.3,PCIe 4.0 x4,2021,TC58NC1132GTC,Yes,6200/6200 MB/s,1480000/360000 IOPS,87600TBW,https://www.techpowerup.com/ssd-specs/kioxia-fl6-800-gb.d1880
Kioxia XG6,512GB 1TB,TLC,M.2 2280,PCIe 3.0 x4,2019,TC58NCP090GSD (Phison E7),Yes,3180/2960 MB/s,355000/365000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/kioxia-xg6-1-tb.d2170
Kioxia XG8,512GB 1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2022,IG5236,Yes,7000/5600 MB/s,Unknown IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/kioxia-xg8-1-tb.d1054
Klevv CRAS C910,500GB 1TB,TLC,M.2 2280,PCIe 4.0 x4,2022,IG5220,HMB,5000/4800 MB/s,830000/670000 IOPS,700TBW,https://www.techpowerup.com/ssd-specs/klevv-cras-c910-1-tb.d1197
Klevv CRAS C910 (RTS5772DL + SK Hynix V6 512Gb),1TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2022,RTS5772DL,HMB,5200/4800 MB/s,540000/600000 IOPS,2800TBW,https://www.techpowerup.com/ssd-specs/klevv-cras-c910-1-tb.d2241
Klevv CRAS C920,1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2021,Phison E18,Yes,7000/5500 MB/s,Unknown IOPS,700TBW,https://www.techpowerup.com/ssd-specs/klevv-cras-c920-1-tb.d613
Klevv CRAS C925,500GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2024,MAP1602A,HMB,7400/6300 MB/s,670000/980000 IOPS,1200TBW,https://www.techpowerup.com/ssd-specs/klevv-cras-c925-1-tb.d2217
Klevv CRAS C930,1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2022,IG5236,Yes,7400/6400 MB/s,1000000/1000000 IOPS,750TBW,https://www.techpowerup.com/ssd-specs/klevv-cras-c930-1-tb.d1196
Klevv CRAS CR700 RGB,480GB 960GB,TLC,M.2 2280,PCIe 3.0 x4,2019,SM2263EN,Yes,1500/1300 MB/s,255000/220000 IOPS,400TBW,https://www.techpowerup.com/ssd-specs/klevv-cras-cr700-rgb-960-gb.d1066
Klevv Genuine G560,1TB 2TB 4TB,TLC,M.2 2280,PCIe 5.0 x4,2024,Phison E26,Yes,13000/9500 MB/s,1300000/1400000 IOPS,700TBW,https://www.techpowerup.com/ssd-specs/klevv-genuine-g560-1-tb.d2248
Kodak X100 (SM2259XT + Micron B47R),120GB 240GB 480GB 960GB,TLC,2.5,SATA 6 Gbps,2021,SM2259XT,No,550/510 MB/s,80000/87000 IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/kodak-x100-960-gb.d1079
Kootion X16 Plus,1TB,TLC,M.2 2280,PCIe 4.0 x4,2023,MAP1602A,HMB,7200/6500 MB/s,740000/740000 IOPS,700TBW,https://www.techpowerup.com/ssd-specs/kootion-x16-plus-1-tb.d1922
Lenovo Legion Go,1TB,TLC,M.2 2242,PCIe 4.0 x4,2023,WD 20-82-10081,HMB,5150/4900 MB/s,740000/800000 IOPS,400TBW,https://www.techpowerup.com/ssd-specs/lenovo-legion-go-1-tb.d1884
Lexar Ares (MAP1602 + Micron B58R),4TB 8TB,TLC,M.2 2280,PCIe 4.0 x4,2024,MAP1602A,HMB,7400/6500 MB/s,1000000/900000 IOPS,3000TBW,https://www.techpowerup.com/ssd-specs/lexar-ares-4-tb.d2232
Lexar Ares (MAP1602 + YMTC X3-9070 EET1A),512GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2023,MAP1602A,HMB,7400/6500 MB/s,1000000/900000 IOPS,1000TBW,https://www.techpowerup.com/ssd-specs/lexar-ares-1-tb.d1479
Lexar NM600,240GB 480GB,TLC,M.2 2280,PCIe 3.0 x4,2019,SM2263XT,HMB,2100/1600 MB/s,188000/156000 IOPS,240TBW,https://www.techpowerup.com/ssd-specs/lexar-nm600-480-gb.d593
Lexar NM610,250GB 500GB 1TB,TLC,M.2 2280,PCIe 3.0 x4,2020,SM2263XT,HMB,2100/1600 MB/s,188000/156000 IOPS,500TBW,https://www.techpowerup.com/ssd-specs/lexar-nm610-1-tb.d590
Lexar NM610 Pro,500GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2023,SM2263XT,No,3300/2600 MB/s,Unknown IOPS,240TBW,https://www.techpowerup.com/ssd-specs/lexar-nm610-pro-1-tb.d1596
Lexar NM620 (IG5216 + Micron B27B),256GB 512GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2021,IG5216,HMB,3300/3000 MB/s,300000/256000 IOPS,500TBW,https://www.techpowerup.com/ssd-specs/lexar-nm620-1-tb.d584
Lexar NM620 (MAP1202 + Micron B47R),256GB 512GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2023,MAP1202A-F1C,HMB,3300/3000 MB/s,300000/256000 IOPS,500TBW,https://www.techpowerup.com/ssd-specs/lexar-nm620-1-tb.d1522
Lexar NM700,256GB 512GB 1TB,TLC,M.2 2280,PCIe 3.0 x4,2020,88SS1092,Yes,3500/2000 MB/s,293000/272000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/lexar-nm700-1-tb.d581
Lexar NM710,500GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2023,MAP1602A,HMB,5000/4500 MB/s,Unknown IOPS,600TBW,https://www.techpowerup.com/ssd-specs/lexar-nm710-1-tb.d1665
Lexar NM790,512GB 1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2023,MAP1602A,HMB,7400/6500 MB/s,1000000/900000 IOPS,1000TBW,https://www.techpowerup.com/ssd-specs/lexar-nm790-1-tb.d1493
